ponto;Profundidade; pH CaCl2     ;P meh-û mg.dm-ü;K mg.dm-ü;S mg.dm-ü;K cmolc.dm-ü    ;Ca+Mg;Ca cmolc.dm-ü;Mg cmolc.dm-ü;Al cmolc.dm-ü;H+Al cmolc.dm-ü;MO dag.kg-û ;B mg.dm-ü;Cu mg.dm-ü;Fe mg.dm-ü;Mn mg.dm-ü;Zn mg.dm-ü;T cmolc.dm-ü;t cmolc.dm-ü;V %;m %;Ca/Mg;Ca/K;Mg/K;Ca/T %;Mg/T %;K/T %;H+Al/T %;Argila %;Silte %;Areia total %
1;00-20;5,80000019073486;26,7999992370605;62;;0,159999996423721;4,40000009536743;3,79999995231628;0,600000023841858;0;1,5;1,60000002384186;;;;;;6,05999994277954;4,55999994277954;75,1999969482422;0;6,30000019073486;23,7999992370605;3,79999995231628;62,7000007629395;9,89999961853027;2,59999990463257;24,7999992370605;17,5;5;77,5
2;00-20;5,80000019073486;8,5;44;9;0,109999999403954;3,29999995231628;2,79999995231628;0,5;0;1,60000002384186;1,20000004768372;0,14300000667572;0,300000011920929;10;0,400000005960465;0,400000005960465;5,01000022888184;3,41000008583069;68,0999984741211;0;5,59999990463257;25,5;4,5;55,9000015258789;10;2,20000004768372;31,8999996185303;17,5;5;77,5
3;00-20;5,80000019073486;7,09999990463257;68;;0,170000001788139;2,90000009536743;2,5;0,400000005960465;0;1,5;1,39999997615814;;;;;;4,57000017166138;3,0699999332428;67,1999969482422;0;6,19999980926514;14,6999998092651;2,40000009536743;54,7000007629395;8,80000019073486;3,70000004768372;32,7999992370606;20;7,5;72,5
4;00-20;5,80000019073486;1,79999995231628;43;;0,109999999403954;3,5;3;0,5;0;1,5;1,39999997615814;;;;;;5,1100001335144;3,60999989509583;70,5999984741211;0;6;27,2999992370605;4,5;58,7000007629395;9,80000019073486;2,20000004768372;29,3999996185303;20;5;75
5;00-20;5,80000019073486;1,5;78;;0,200000002980232;3,20000004768372;2,79999995231628;0,400000005960465;0;1,5;1,29999995231628;;;;;;4,90000009536743;3,40000009536743;69,4000015258789;0;7;14;2;57,0999984741211;8,19999980926514;4,09999990463257;30,6000003814697;22,5;5;72,5
6;00-20;5,80000019073486;3,20000004768372;48;;0,119999997317791;3,09999990463257;2,59999990463257;0,5;0;1,60000002384186;1,20000004768372;;;;;;4,82000017166138;3,22000002861023;66,8000030517578;0;5,19999980926514;21,7000007629395;4,19999980926514;53,9000015258789;10,3999996185303;2,5;33,2000007629395;22,5;5;72,5
7;00-20;5,80000019073486;3,70000004768372;67;6,90000009536743;0,170000001788139;3,40000009536743;2,90000009536743;0,5;0;1,60000002384186;1,10000002384186;0,135000005364418;0,200000002980232;11;0,300000011920929;0,300000011920929;5,17000007629395;3,5699999332428;69,0999984741211;0;5,80000019073486;17,1000003814697;2,90000009536743;56,0999984741211;9,69999980926514;3,29999995231628;30,8999996185303;22,5;5;72,5
8;00-20;5,80000019073486;9,69999980926514;52;;0,129999995231628;3,20000004768372;2,70000004768372;0,5;0;1,60000002384186;1,20000004768372;;;;;;4,92999982833862;3,32999992370605;67,5;0;5,40000009536743;20,7999992370605;3,79999995231628;54,7999992370606;10,1000003814697;2,59999990463257;32,5;22,5;2,5;75
9;00-20;5,80000019073486;3;43;;0,109999999403954;3,70000004768372;3,20000004768372;0,5;0;1,5;1,20000004768372;;;;;;5,30999994277954;3,80999994277954;71,8000030517578;0;6,40000009536743;29,1000003814697;4,5;60,2999992370606;9,39999961853027;2,09999990463257;28,2000007629395;27,5;2,5;70
10;00-20;5,80000019073486;2,09999990463257;72;;0,180000007152557;3,29999995231628;2,79999995231628;0,5;0;1,5;1,39999997615814;;;;;;4,98000001907349;3,48000001907349;69,9000015258789;0;5,59999990463257;15,6000003814697;2,79999995231628;56,2000007629395;10;3,59999990463257;30,1000003814697;22,5;2,5;75
11;00-20;5,69999980926514;1,79999995231628;34;;0,0900000035762787;3,40000009536743;2,90000009536743;0,5;0;1,60000002384186;1,20000004768372;;;;;;5,09000015258789;3,49000000953674;68,5999984741211;0;5,80000019073486;32,2000007629395;5,59999990463257;57;9,80000019073486;1,79999995231628;31,3999996185303;22,5;2,5;75
12;00-20;5,69999980926514;1,29999995231628;69;;0,180000007152557;3,20000004768372;2,70000004768372;0,5;0;1,60000002384186;1,29999995231628;;;;;;4,98000001907349;3,38000011444092;67,9000015258789;0;5,40000009536743;15;2,79999995231628;54,2000007629395;10;3,59999990463257;32,0999984741211;20;2,5;77,5
13;00-20;5,69999980926514;7,30000019073486;65;;0,170000001788139;3;2,59999990463257;0,400000005960465;0;1,60000002384186;1,29999995231628;;;;;;4,76999998092651;3,17000007629395;66,5;0;6,5;15,3000001907349;2,40000009536743;54,5;8,39999961853027;3,59999990463257;33,5;20;2,5;77,5
14;00-20;5,69999980926514;8,30000019073486;78;8,5;0,200000002980232;2,59999990463257;2,20000004768372;0,400000005960465;0;1,60000002384186;1,29999995231628;0,138999998569489;0,300000011920929;15;0,400000005960465;0,300000011920929;4,40000009536743;2,79999995231628;63,5999984741211;0;5,5;11;2;50;9,10000038146973;4,5;36,4000015258789;17,5;2,5;80
15;00-20;5,69999980926514;3,70000004768372;45;;0,119999997317791;2,79999995231628;2,40000009536743;0,400000005960465;0;1,60000002384186;1;;;;;;4,51999998092651;2,92000007629395;64,5999984741211;0;6;20;3,29999995231628;53,0999984741211;8,80000019073486;2,70000004768372;35,4000015258789;25;2,5;72,5
16;00-20;5,69999980926514;2,29999995231628;61;7,40000009536743;0,159999996423721;2,90000009536743;2,5;0,400000005960465;0;1,60000002384186;1,20000004768372;0,14300000667572;0,600000023841858;10;0,600000023841858;0,699999988079071;4,65999984741211;3,05999994277954;65,6999969482422;0;6,19999980926514;15,6000003814697;2,5;53,5999984741211;8,60000038146973;3,40000009536743;34,2999992370606;20;5;75
17;00-20;5,69999980926514;17,2999992370605;50;;0,129999995231628;3,90000009536743;3,5;0,400000005960465;0;1,60000002384186;1,10000002384186;;;;;;5,63000011444092;4,03000020980835;71,5999984741211;0;8,80000019073486;26,8999996185303;3,09999990463257;62,2000007629395;7,09999990463257;2,29999995231628;28,3999996185303;25;2,5;72,5
18;00-20;5,69999980926514;4,09999990463257;47;;0,119999997317791;2,79999995231628;2,5;0,300000011920929;0;1,60000002384186;1,29999995231628;;;;;;4,51999998092651;2,92000007629395;64,5999984741211;0;8,30000019073486;20,7999992370605;2,5;55,2999992370606;6,59999990463257;2,70000004768372;35,4000015258789;25;5;70
19;00-20;5,59999990463257;3,29999995231628;63;;0,159999996423721;3;2,70000004768372;0,300000011920929;0;1,60000002384186;1,20000004768372;;;;;;4,76000022888184;3,16000008583069;66,4000015258789;0;9;16,8999996185303;1,89999997615814;56,7000007629395;6,30000019073486;3,40000009536743;33,5999984741211;22,5;5;72,5
20;00-20;5,69999980926514;3,5;55;;0,140000000596046;3,59999990463257;3,20000004768372;0,400000005960465;0;1,60000002384186;1,29999995231628;;;;;;5,34000015258789;3,74000000953674;70;0;8;22,8999996185303;2,90000009536743;59,9000015258789;7,5;2,59999990463257;30;22,5;5;72,5
21;00-20;5,59999990463257;5,40000009536743;50;;0,129999995231628;3,20000004768372;2,79999995231628;0,400000005960465;0;1,79999995231628;1,39999997615814;;;;;;5,13000011444092;3,32999992370605;64,9000015258789;0;7;21,5;3,09999990463257;54,5999984741211;7,80000019073486;2,5;35,0999984741211;20;2,5;77,5
22;00-20;5,5;1,79999995231628;46;;0,119999997317791;3,20000004768372;2,79999995231628;0,400000005960465;0;2;1,29999995231628;;;;;;5,32000017166138;3,3199999332428;62,4000015258789;0;7;23,2999992370605;3,29999995231628;52,5999984741211;7,5;2,29999995231628;37,5999984741211;25;2,5;72,5
23;00-20;5,69999980926514;3,79999995231628;57;7,40000009536743;0,150000005960464;3,59999990463257;3,20000004768372;0,400000005960465;0;1,60000002384186;1,20000004768372;0,216999992728233;0,300000011920929;9;0,400000005960465;0,400000005960465;5,34999990463257;3,75;70,0999984741211;0;8;21,2999992370605;2,70000004768372;59,7999992370606;7,5;2,79999995231628;29,8999996185303;25;2,5;72,5
24;00-20;5,5;3,40000009536743;30;;0,0799999982118607;3;2,5;0,5;0;2;1,39999997615814;;;;;;5,07999992370606;3,07999992370605;60,5999984741211;0;5;31,2000007629395;6,19999980926514;49,2000007629395;9,80000019073486;1,60000002384186;39,4000015258789;30;2,5;67,5
25;00-20;5,69999980926514;1,70000004768372;48;;0,119999997317791;4,5;3,59999990463257;0,899999976158142;0;1,79999995231628;1,20000004768372;;;;;;6,42000007629395;4,61999988555908;72;0;4;30;7,5;56,0999984741211;14;1,89999997615814;28;27,5;2,5;70
26;00-20;5,69999980926514;3,70000004768372;44;;0,109999999403954;4,09999990463257;3,40000009536743;0,699999988079071;0;1,79999995231628;1,60000002384186;;;;;;6,01000022888184;4,21000003814697;70;0;4,90000009536743;30,8999996185303;6,40000009536743;56,5999984741211;11,6000003814697;1,79999995231628;30;25;5;70
27;00-20;5,69999980926514;2,79999995231628;38;7,90000009536743;0,100000001490116;3,40000009536743;3;0,400000005960465;0;1,79999995231628;1,20000004768372;0,291999995708466;0,300000011920929;5;0,300000011920929;0,300000011920929;5,30000019073486;3,5;66;0;7,5;30;4;56,5999984741211;7,5;1,89999997615814;34;27,5;2,5;70
28;00-20;5,69999980926514;1,20000004768372;68;;0,170000001788139;4,30000019073486;3,79999995231628;0,5;0;1,60000002384186;1,10000002384186;;;;;;6,07000017166138;4,46999979019165;73,5999984741211;0;7,59999990463257;22,3999996185303;2,90000009536743;62,5999984741211;8,19999980926514;2,79999995231628;26,3999996185303;32,5;5;62,5
29;00-20;6;3,09999990463257;59;;0,150000005960464;3,59999990463257;3,09999990463257;0,5;0;1,5;1,5;;;;;;5,25;3,75;71,4000015258789;0;6,19999980926514;20,7000007629395;3,29999995231628;59;9,5;2,90000009536743;28,6000003814697;22,5;5;72,5
30;00-20;5,69999980926514;5;61;;0,159999996423721;3,90000009536743;3,29999995231628;0,600000023841858;0;1,60000002384186;1;;;;;;5,65999984741211;4,05999994277954;71,6999969482422;0;5,5;20,6000003814697;3,79999995231628;58,2999992370606;10,6000003814697;2,79999995231628;28,2999992370605;22,5;5;72,5
31;00-20;5,69999980926514;4,30000019073486;58;10,6999998092651;0,150000005960464;4,30000019073486;3,70000004768372;0,600000023841858;0;1,60000002384186;1,39999997615814;0,158000007271767;0,300000011920929;12;0,300000011920929;0,300000011920929;6,05000019073486;4,44999980926514;73,5999984741211;0;6,19999980926514;24,7000007629395;4;61,2000007629395;9,89999961853027;2,5;26,3999996185303;32,5;5;62,5
32;00-20;5,69999980926514;1,39999997615814;85;;0,219999998807907;4,09999990463257;3,59999990463257;0,5;0;1,79999995231628;1,60000002384186;;;;;;6,11999988555908;4,32000017166138;70,5999984741211;0;7,19999980926514;16,3999996185303;2,29999995231628;58,7999992370606;8,19999980926514;3,59999990463257;29,3999996185303;30;5;65
33;00-20;5,69999980926514;6,19999980926514;46;;0,119999997317791;3,5;3,09999990463257;0,400000005960465;0;1,60000002384186;1,39999997615814;;;;;;5,21999979019165;3,61999988555908;69,3000030517578;0;7,69999980926514;25,7999992370605;3,29999995231628;59,4000015258789;7,69999980926514;2,29999995231628;30,7000007629395;32,5;5;62,5
34;00-20;5,69999980926514;4,09999990463257;35;7,90000009536743;0,0900000035762787;4,40000009536743;4;0,400000005960465;0;1,60000002384186;1,60000002384186;0,141000002622604;0,300000011920929;8;0,400000005960465;0,400000005960465;6,09000015258789;4,48999977111816;73,6999969482422;0;10;44,4000015258789;4,40000009536743;65,6999969482422;6,59999990463257;1,5;26,2999992370605;27,5;5;67,5
35;00-20;5,69999980926514;2,40000009536743;39;;0,100000001490116;3,5;3,09999990463257;0,400000005960465;0;1,60000002384186;1,39999997615814;;;;;;5,19999980926514;3,59999990463257;69,1999969482422;0;7,69999980926514;31;4;59,5999984741211;7,69999980926514;1,89999997615814;30,7999992370605;27,5;5;67,5
36;00-20;5,69999980926514;1,5;48;;0,119999997317791;3,90000009536743;3,5;0,400000005960465;0;1,60000002384186;1,39999997615814;;;;;;5,61999988555908;4,01999998092651;71,5;0;8,80000019073486;29,2000007629395;3,29999995231628;62,2999992370606;7,09999990463257;2,09999990463257;28,5;25;5;70
37;00-20;5,69999980926514;1,29999995231628;46;;0,119999997317791;3,59999990463257;3,09999990463257;0,5;0;1,60000002384186;1,5;;;;;;5,32000017166138;3,72000002861023;69,9000015258789;0;6,19999980926514;25,7999992370605;4,19999980926514;58,2999992370606;9,39999961853027;2,29999995231628;30,1000003814697;22,5;5;72,5
38;00-20;5,59999990463257;3,5;50;;0,129999995231628;2,90000009536743;2,59999990463257;0,300000011920929;0;2;1,39999997615814;;;;;;5,03000020980835;3,02999997138977;60,2000007629395;0;8,69999980926514;20;2,29999995231628;51,7000007629395;6;2,59999990463257;39,7999992370606;17,5;5;77,5
39;00-20;5,69999980926514;4,09999990463257;53;;0,140000000596046;3,70000004768372;3,29999995231628;0,400000005960465;0;1,79999995231628;1,60000002384186;;;;;;5,6399998664856;3,83999991416931;68,0999984741211;0;8,19999980926514;23,6000003814697;2,90000009536743;58,5;7,09999990463257;2,5;31,8999996185303;22,5;5;72,5
40;00-20;5,59999990463257;4,40000009536743;61;;0,159999996423721;3;2,59999990463257;0,400000005960465;0;1,79999995231628;1,60000002384186;;;;;;4,96000003814697;3,16000008583069;63,7000007629395;0;6,5;16,2000007629395;2,5;52,4000015258789;8,10000038146973;3,20000004768372;36,2999992370606;25;5;70
41;00-20;5,80000019073486;2,09999990463257;59;7,40000009536743;0,150000005960464;4,09999990463257;3,59999990463257;0,5;0;1,5;1,39999997615814;0,163000002503395;0,400000005960465;8;0,5;0,400000005960465;5,75;4,25;73,9000015258789;0;7,19999980926514;24;3,29999995231628;62,5999984741211;8,69999980926514;2,59999990463257;26,1000003814697;25;5;70
42;00-20;5,5;2,59999990463257;63;;0,159999996423721;3,09999990463257;2,5;0,600000023841858;0;2;1,39999997615814;;;;;;5,26000022888184;3,25999999046326;62;0;4,19999980926514;15,6000003814697;3,79999995231628;47,5;11,3999996185303;3;38;25;5;70
43;00-20;5,80000019073486;1,89999997615814;52;;0,129999995231628;3,59999990463257;3;0,600000023841858;0;1,60000002384186;1,29999995231628;;;;;;5,32999992370606;3,73000001907349;70;0;5;23,1000003814697;4,59999990463257;56,2999992370606;11,3000001907349;2,40000009536743;30;25;5;70
44;00-20;5,5;2,59999990463257;39;;0,100000001490116;3,5;2,90000009536743;0,600000023841858;0;2;1,5;;;;;;5,59999990463257;3,59999990463257;64,3000030517578;0;4,80000019073486;29;6;51,7999992370606;10,6999998092651;1,79999995231628;35,7000007629395;27,5;5;67,5
45;00-20;5,80000019073486;3,09999990463257;51;;0,129999995231628;4,09999990463257;3,40000009536743;0,699999988079071;0;1,60000002384186;1,5;;;;;;5,82999992370606;4,23000001907349;72,5999984741211;0;4,90000009536743;26,2000007629395;5,40000009536743;58,2999992370606;12;2,20000004768372;27,3999996185303;25;5;70
46;00-20;5,80000019073486;4,90000009536743;46;;0,119999997317791;3,79999995231628;3,20000004768372;0,600000023841858;0;1,60000002384186;1,39999997615814;;;;;;5,51999998092651;3,92000007629395;71;0;5,30000019073486;26,7000007629395;5;58;10,8999996185303;2,20000004768372;29;30;5;65
47;00-20;5,80000019073486;4,90000009536743;35;;0,0900000035762787;4,90000009536743;4,19999980926514;0,699999988079071;0;1,60000002384186;1,60000002384186;;;;;;6,59000015258789;4,98999977111816;75,6999969482422;0;6;46,7000007629395;7,80000019073486;63,7000007629395;10,6000003814697;1,39999997615814;24,2999992370605;32,5;7,5;60
48;00-20;5,69999980926514;4,80000019073486;36;;0,0900000035762787;4,30000019073486;3,70000004768372;0,600000023841858;0;1,60000002384186;1,5;;;;;;5,98999977111816;4,3899998664856;73,3000030517578;0;6,19999980926514;41,0999984741211;6,69999980926514;61,7999992370606;10;1,5;26,7000007629395;30;7,5;62,5
49;00-20;5,80000019073486;8,60000038146973;54;8,5;0,140000000596046;3,59999990463257;3,09999990463257;0,5;0;1,60000002384186;1,29999995231628;0,187999993562698;0,400000005960465;8;0,5;0,300000011920929;5,34000015258789;3,74000000953674;70;0;6,19999980926514;22,1000003814697;3,59999990463257;58,0999984741211;9,39999961853027;2,59999990463257;30;30;5;65
50;00-20;5,69999980926514;2,20000004768372;72;;0,180000007152557;4,19999980926514;3,59999990463257;0,600000023841858;0;1,79999995231628;1,60000002384186;;;;;;6,17999982833862;4,38000011444092;70,9000015258789;0;6;20;3,29999995231628;58,2999992370606;9,69999980926514;2,90000009536743;29,1000003814697;30;7,5;62,5
51;00-20;5,59999990463257;2,5;37;;0,0900000035762787;3,59999990463257;2,90000009536743;0,699999988079071;0;2;1,5;;;;;;5,69000005722046;3,69000005722046;64,9000015258789;0;4,09999990463257;32,2000007629395;7,80000019073486;51;12,3000001907349;1,60000002384186;35,0999984741211;27,5;7,5;65
52;00-20;5,59999990463257;2,5;76;6,90000009536743;0,189999997615814;3,90000009536743;3,09999990463257;0,800000011920929;0;1,79999995231628;1,60000002384186;0,141000002622604;0,300000011920929;7;2,20000004768372;0,400000005960465;5,8899998664856;4,09000015258789;69,4000015258789;0;3,90000009536743;16,2999992370605;4,19999980926514;52,5999984741211;13,6000003814697;3,20000004768372;30,6000003814697;30;5;65
53;00-20;5,59999990463257;2,79999995231628;56;;0,140000000596046;3,29999995231628;2,70000004768372;0,600000023841858;0;1,60000002384186;1,29999995231628;;;;;;5,03999996185303;3,44000005722046;68,3000030517578;0;4,5;19,2999992370605;4,30000019073486;53,5999984741211;11,8999996185303;2,79999995231628;31,7000007629395;25;5;70
54;00-20;5,59999990463257;4;47;;0,119999997317791;3,29999995231628;2,70000004768372;0,600000023841858;0;1,60000002384186;1,60000002384186;;;;;;5,01999998092651;3,42000007629395;68,0999984741211;0;4,5;22,5;5;53,7999992370606;12;2,40000009536743;31,8999996185303;27,5;2,5;70
55;00-20;5,69999980926514;4,19999980926514;51;;0,129999995231628;4,59999990463257;3,90000009536743;0,699999988079071;0;1,5;1,5;;;;;;6,23000001907349;4,73000001907349;75,9000015258789;0;5,59999990463257;30;5,40000009536743;62,5999984741211;11,1999998092651;2,09999990463257;24,1000003814697;27,5;5;67,5
56;00-20;5,69999980926514;1,5;54;;0,140000000596046;4,09999990463257;3,59999990463257;0,5;0;1,79999995231628;1,39999997615814;;;;;;6,03999996185303;4,23999977111816;70,1999969482422;0;7,19999980926514;25,7000007629395;3,59999990463257;59,5999984741211;8,30000019073486;2,29999995231628;29,7999992370605;30;5;65
57;00-20;5,80000019073486;1,29999995231628;42;6,30000019073486;0,109999999403954;4,09999990463257;3,5;0,600000023841858;0;1,5;1,5;0,135000005364418;0,400000005960465;10;0,899999976158142;0,300000011920929;5,71000003814697;4,21000003814697;73,6999969482422;0;5,80000019073486;31,7999992370605;5,5;61,2999992370606;10,5;1,89999997615814;26,2999992370605;32,5;2,5;65
58;00-20;5,5;1,5;52;;0,129999995231628;2,79999995231628;2,29999995231628;0,5;0;1,79999995231628;1,39999997615814;;;;;;4,73000001907349;2,9300000667572;61,9000015258789;0;4,59999990463257;17,7000007629395;3,79999995231628;48,5999984741211;10,6000003814697;2,70000004768372;38,0999984741211;25;5;70
59;00-20;5,80000019073486;1,39999997615814;39;;0,100000001490116;4,19999980926514;3,40000009536743;0,800000011920929;0;1,5;1,5;;;;;;5,80000019073486;4,30000019073486;74,0999984741211;0;4,19999980926514;34;8;58,5999984741211;13,8000001907349;1,70000004768372;25,8999996185303;30;5;65
60;00-20;5,59999990463257;1,79999995231628;47;;0,119999997317791;4,09999990463257;3,29999995231628;0,800000011920929;0;1,79999995231628;1,39999997615814;;;;;;6,01999998092651;4,21999979019165;70,0999984741211;0;4,09999990463257;27,5;6,69999980926514;54,7999992370606;13,3000001907349;2;29,8999996185303;30;5;65
61;00-20;6;1,89999997615814;66;;0,170000001788139;4;3,40000009536743;0,600000023841858;0;1,5;1,70000004768372;;;;;;5,67000007629395;4,17000007629395;73,5;0;5,69999980926514;20;3,5;60;10,6000003814697;3;26,5;32,5;5;62,5
62;00-20;5,69999980926514;14,1000003814697;73;;0,189999997615814;3;2,40000009536743;0,600000023841858;0;1,60000002384186;1,39999997615814;;;;;;4,78999996185303;3,19000005722046;66,5999984741211;0;4;12,6000003814697;3,20000004768372;50,0999984741211;12,5;4;33,4000015258789;25;5;70
63;00-20;5,80000019073486;2,90000009536743;62;;0,159999996423721;2,90000009536743;2,20000004768372;0,699999988079071;0;1,60000002384186;1,39999997615814;;;;;;4,65999984741211;3,05999994277954;65,6999969482422;0;3,09999990463257;13,8000001907349;4,40000009536743;47,2000007629395;15;3,40000009536743;34,2999992370606;27,5;5;67,5
64;00-20;5,80000019073486;9,19999980926514;62;6,90000009536743;0,159999996423721;3,90000009536743;3,09999990463257;0,800000011920929;0;1,60000002384186;1,60000002384186;0,206000000238419;0,300000011920929;7;1,70000004768372;0,5;5,65999984741211;4,05999994277954;71,6999969482422;0;3,90000009536743;19,3999996185303;5;54,7999992370606;14,1000003814697;2,79999995231628;28,2999992370605;27,5;5;67,5
65;00-20;5,80000019073486;1,89999997615814;58;;0,150000005960464;3,40000009536743;2,79999995231628;0,600000023841858;0;1,60000002384186;1,60000002384186;;;;;;5,15000009536743;3,54999995231628;68,9000015258789;0;4,69999980926514;18,7000007629395;4;54,4000015258789;11,6999998092651;2,90000009536743;31,1000003814697;30;5;65
66;00-20;5,69999980926514;1,29999995231628;53;;0,140000000596046;3,59999990463257;2,79999995231628;0,800000011920929;0;1,79999995231628;1,5;;;;;;5,53999996185303;3,74000000953674;67,5;0;3,5;20;5,69999980926514;50,5;14,3999996185303;2,5;32,5;30;2,5;67,5
67;00-20;5,69999980926514;5,69999980926514;68;;0,170000001788139;3,5;2,90000009536743;0,600000023841858;0;1,60000002384186;1,79999995231628;;;;;;5,26999998092651;3,67000007629395;69,5999984741211;0;4,80000019073486;17,1000003814697;3,5;55;11,3999996185303;3,20000004768372;30,3999996185303;32,5;5;62,5
2;20-40;5,69999980926514;5,30000019073486;46;6,90000009536743;0,119999997317791;3,20000004768372;2,59999990463257;0,600000023841858;0;1,79999995231628;1,39999997615814;;;;;;5,11999988555908;3,3199999332428;64,8000030517578;0;4,30000019073486;21,7000007629395;5;50,7999992370606;11,6999998092651;2,29999995231628;35,2000007629395;;;
7;20-40;5,80000019073486;4,69999980926514;60;6,90000009536743;0,150000005960464;3,40000009536743;2,79999995231628;0,600000023841858;0;1,5;1,39999997615814;;;;;;5,05000019073486;3,54999995231628;70,3000030517578;0;4,69999980926514;18,7000007629395;4;55,4000015258789;11,8999996185303;3;29,7000007629395;;;
14;20-40;5,69999980926514;6,5;82;7,40000009536743;0,209999993443489;2,5;2,09999990463257;0,400000005960465;0;1,79999995231628;1,29999995231628;;;;;;4,51000022888184;2,71000003814697;60,0999984741211;0;5,19999980926514;10;1,89999997615814;46,5999984741211;8,89999961853027;4,69999980926514;39,9000015258789;;;
16;20-40;5,69999980926514;2,20000004768372;66;8,5;0,170000001788139;2,79999995231628;2,40000009536743;0,400000005960465;0;1,60000002384186;1,29999995231628;;;;;;4,57000017166138;2,97000002861023;65;0;6;14,1000003814697;2,40000009536743;52,5;8,80000019073486;3,70000004768372;35;;;
23;20-40;5,69999980926514;3,70000004768372;68;7,40000009536743;0,170000001788139;3,29999995231628;2,79999995231628;0,5;0;1,60000002384186;1,5;;;;;;5,07000017166138;3,47000002861023;68,4000015258789;0;5,59999990463257;16,5;2,90000009536743;55,2000007629395;9,89999961853027;3,40000009536743;31,6000003814697;;;
27;20-40;5,69999980926514;3,5;43;7,90000009536743;0,109999999403954;3,5;2,70000004768372;0,800000011920929;0;1,60000002384186;1,20000004768372;;;;;;5,21000003814697;3,60999989509583;69,3000030517578;0;3,40000009536743;24,5;7,30000019073486;51,7999992370606;15,3999996185303;2,09999990463257;30,7000007629395;;;
31;20-40;5,69999980926514;3,90000009536743;59;8,5;0,150000005960464;4,40000009536743;3,70000004768372;0,699999988079071;0;1,60000002384186;1,39999997615814;;;;;;6,15000009536743;4,55000019073486;74;0;5,30000019073486;24,7000007629395;4,69999980926514;60,2000007629395;11,3999996185303;2,40000009536743;26;;;
34;20-40;5,90000009536743;20,5;38;7,40000009536743;0,100000001490116;4,5;3,79999995231628;0,699999988079071;0;1,5;1,60000002384186;;;;;;6,09999990463257;4,59999990463257;75,4000015258789;0;5,40000009536743;38;7;62,2999992370606;11,5;1,60000002384186;24,6000003814697;;;
41;20-40;5,80000019073486;4,09999990463257;68;7,90000009536743;0,170000001788139;4,30000019073486;3,70000004768372;0,600000023841858;0;1,5;1,39999997615814;;;;;;5,96999979019165;4,46999979019165;74,9000015258789;0;6,19999980926514;21,7999992370605;3,5;62;10,1000003814697;2,79999995231628;25,1000003814697;;;
49;20-40;5,90000009536743;18,8999996185303;50;9;0,129999995231628;4,09999990463257;3,5;0,600000023841858;0;1,5;1,39999997615814;;;;;;5,73000001907349;4,23000001907349;73,8000030517578;0;5,80000019073486;26,8999996185303;4,59999990463257;61,0999984741211;10,5;2,29999995231628;26,2000007629395;;;
52;20-40;5,80000019073486;4,30000019073486;45;7,40000009536743;0,119999997317791;3,79999995231628;3,09999990463257;0,699999988079071;0;1,60000002384186;1,70000004768372;;;;;;5,51999998092651;3,92000007629395;71;0;4,40000009536743;25,7999992370605;5,80000019073486;56,2000007629395;12,6999998092651;2,20000004768372;29;;;
57;20-40;5,80000019073486;1,60000002384186;49;7,90000009536743;0,129999995231628;4,19999980926514;3,70000004768372;0,5;0;1,60000002384186;1,60000002384186;;;;;;5,92999982833862;4,32999992370606;73;0;7,40000009536743;28,5;3,79999995231628;62,4000015258789;8,39999961853027;2,20000004768372;27;;;
64;20-40;5,69999980926514;3;51;8,5;0,129999995231628;3,5;2,79999995231628;0,699999988079071;0;1,60000002384186;1,5;;;;;;5,23000001907349;3,63000011444092;69,4000015258789;0;4;21,5;5,40000009536743;53,5;13,3999996185303;2,5;30,6000003814697;;;
